Date,Open,High,Low,Close,Volume,onchain_id,onchain_symbol,onchain_zero_balance_addresses_all_time,onchain_unique_addresses_all_time,onchain_new_addresses,onchain_active_addresses,onchain_transaction_count,onchain_transaction_count_all_time,onchain_large_transaction_count,onchain_average_transaction_value,onchain_block_height,onchain_hashrate,onchain_difficulty,onchain_block_time,onchain_block_size,onchain_current_supply,sp500,vix,dxy,brentoil,dowjones,RSI_10,RSI_14,ROC_12,STD_DEV_20,CCI_20,H_L,H_CP,MACD_Line_6_20,MACD_Signal_6_20,ATR_14,OBV,EMA_5,SMA_5,BB_Mid_20,BB_Upper_20,BB_Lower_20,STOCH_K,STOCH_D,EMA_12,EMA_26,MACD_Histogram,Target_Return_1d,Log_return,SMA_14
2021-03-03,48501.21,52625.39,48176.64,50392.55,2615513552.66,1182.0,BTC,772626592.0,809034274.0,573711.0,1186311.0,333402.0,333402.0,26889.0,5.62550796182926,673052.0,163390179.503055,21724134900047.3,571.05298013245,1301007.0,18644081.0,3819.72,26.67,112.7617,64.7,31270.09,78.53283304247618,64.37220419589528,10.462776739815705,3864.901964300204,11.081455293195948,4448.75,1400.0999999999985,0.0,0.0,3680.670714285715,0.0,50392.55,49477.728,55131.708999999995,62861.5129286004,47401.90507139959,74.5857980755362,74.82593961126068,50392.55,50392.55,0.0,-0.040260117815034246,-0.04109298729280726,54175.0
2021-03-04,50392.55,51792.65,47516.91,48363.74,3024053725.58,1182.0,BTC,773028495.0,809546782.0,512508.0,1046922.0,289631.0,623033.0,24879.0,5.24332122892239,673180.0,138868686.441563,21724134900047.3,671.889763779527,1287553.0,18644881.0,3768.47,28.57,112.7037,67.32,30924.14,78.53283304247618,64.37220419589528,10.462776739815705,3864.901964300204,11.081455293195948,4275.739999999998,1400.0999999999985,-386.4400000000023,-77.28800000000047,3680.670714285715,-3024053725.58,49716.280000000006,49477.728,55131.708999999995,62861.5129286004,47401.90507139959,74.5857980755362,74.82593961126068,50080.42538461539,50242.26777777778,-309.15200000000186,0.008511128378409172,-0.04109298729280726,54175.0
2021-03-05,48363.74,49467.19,46311.43,48775.37,2907395734.68,1182.0,BTC,773527516.0,810090499.0,543717.0,1169154.0,317780.0,940813.0,23833.0,5.60049330387252,673329.0,161704257.076713,21724134900047.3,577.006756756757,1323912.0,18645812.0,3841.94,24.66,113.7487,69.95,31496.3,78.53283304247618,64.37220419589528,10.462776739815705,3864.901964300204,11.081455293195948,3155.760000000002,1103.4500000000044,-547.2590476190453,-171.28220952380943,3680.670714285715,-116657990.9000001,49402.64333333334,49477.728,55131.708999999995,62861.5129286004,47401.90507139959,74.5857980755362,74.82593961126068,49879.6476331361,50133.608683127575,-375.97683809523585,0.002407567589953752,0.008475112935690251,54175.0
2021-03-06,48775.37,49185.32,47099.07,48892.8,1214194643.85,1182.0,BTC,774101961.0,810562447.0,471948.0,1133078.0,287963.0,1228776.0,19018.0,5.32334950142084,673481.0,162497758.769467,21473685655440.1,567.569536423841,1352091.0,18646762.0,3841.94,24.66,113.7487,69.95,31496.3,78.53283304247618,64.37220419589528,10.462776739815705,3864.901964300204,11.081455293195948,2086.25,409.9499999999971,-613.9307029478368,-259.8119082086149,3680.670714285715,1097536652.9499998,49232.69555555556,49477.728,55131.708999999995,62861.5129286004,47401.90507139959,74.5857980755362,74.82593961126068,49727.82492034593,50041.69692882183,-354.1187947392219,0.04236574710386809,0.0024046740424471962,54175.0
2021-03-07,48892.8,51455.54,48892.8,50964.18,1658558074.88,1182.0,BTC,774606797.0,811021958.0,459511.0,1050974.0,260739.0,1489515.0,19357.0,8.17357949689429,673627.0,156730413.296509,21448277761059.7,587.758620689656,1369775.0,18647681.0,3841.94,24.66,113.7487,69.95,31496.3,78.53283304247618,64.37220419589528,10.462776739815705,3864.901964300204,11.081455293195948,2562.739999999998,2562.739999999998,-245.76365835222532,-257.002258237337,3680.670714285715,2756094727.83,49809.85703703704,49477.728,55131.708999999995,62861.5129286004,47401.90507139959,74.5857980755362,74.82593961126068,49918.03339413886,50110.02900816836,11.238599885111682,0.028271621362297994,0.0414928866415132,54175.0
2021-03-08,50964.18,52408.08,49341.09,52405.02,2445827949.75,1182.0,BTC,775148200.0,811516234.0,494276.0,1174988.0,291955.0,1781470.0,24576.0,6.71392745637311,673782.0,164845354.199427,21448277761059.7,558.824675324675,1410230.0,18648643.0,3821.35,25.47,114.2678,68.0,31802.44,78.53283304247618,64.37220419589528,10.462776739815705,3864.901964300204,11.081455293195948,3066.9900000000052,1443.9000000000015,273.30058566133084,-150.94168945760345,3680.670714285715,5201922677.58,50674.9113580247,49880.222,55131.708999999995,62861.5129286004,47401.90507139959,74.5857980755362,74.82593961126068,50300.646718117496,50280.028340896635,424.2422751189343,0.048157218526011514,0.027879355247269557,54175.0
2021-03-09,52405.02,54933.93,51888.98,54928.7,2898199576.25,1182.0,BTC,775582788.0,812049915.0,533681.0,1091867.0,299682.0,2081152.0,29046.0,6.50943248704397,673922.0,150609058.72757,21448277761059.7,611.647482014389,1311160.0,18649518.0,3875.44,24.03,113.928,67.03,31832.74,78.53283304247618,64.37220419589528,10.462776739815705,3864.901964300204,11.081455293195948,3044.949999999997,2528.9100000000035,1082.0144689173976,95.64954221739677,3680.670714285715,8100122253.83,52092.8409053498,51193.214,55131.708999999995,62861.5129286004,47401.90507139959,74.5857980755362,74.82593961126068,51012.65491533019,50624.37438971911,986.3649267000009,0.01756112924573139,0.04703359232481581,54175.0
2021-03-10,54928.7,57396.59,53054.34,55893.31,3898251700.72,1182.0,BTC,776063258.0,812628614.0,578699.0,1183231.0,344688.0,2425840.0,28627.0,4.95295295051232,674071.0,160735058.862932,21448277761059.7,573.114864864865,1299936.0,18650450.0,3898.81,22.56,113.5881,67.53,32297.02,78.53283304247618,64.37220419589528,10.462776739815705,3864.901964300204,11.081455293195948,4342.25,2467.8899999999994,1758.9453603028232,428.30870583448205,3680.670714285715,11998373954.55,53359.66393689987,52616.802,55131.708999999995,62861.5129286004,47401.90507139959,74.5857980755362,74.82593961126068,51763.52492835632,51014.66591640658,1330.6366544683412,0.03428138358597854,0.01740871441279197,54175.0
2021-03-11,55893.31,58142.77,54314.65,57809.41,3340389094.49,1182.0,BTC,776467061.0,813137385.0,508771.0,1086818.0,291245.0,2717085.0,26392.0,5.78991751144535,674203.0,144155320.579182,21448277761059.7,639.030534351145,1284828.0,18651275.0,3939.34,21.91,112.9214,69.34,32485.59,78.53283304247618,64.37220419589528,10.462776739815705,3864.901964300204,11.081455293195948,3828.1199999999953,2249.459999999999,2513.526674863395,845.3522996402646,3680.670714285715,15338763049.039999,54842.91262459992,54400.123999999996,55131.708999999995,62861.5129286004,47401.90507139959,74.5857980755362,74.82593961126068,52693.661093224575,51517.980292969056,1668.1743752231303,-0.009569203352879807,0.03370687019291711,54175.0
2021-03-12,57809.41,58069.58,55089.68,57256.22,3079097934.08,1182.0,BTC,776968393.0,813691998.0,554613.0,1189158.0,320744.0,3037829.0,26825.0,4.37730474898336,674353.0,164241520.136795,21448277761059.7,560.879194630873,1314888.0,18652212.0,3943.34,20.69,113.0269,68.87,32778.64,78.53283304247618,64.37220419589528,10.462776739815705,3864.901964300204,11.081455293195948,2979.9000000000015,260.16999999999825,2827.416458426662,1241.765131397544,3680.670714285715,12259665114.96,55647.34841639995,55658.53199999999,55131.708999999995,62861.5129286004,47401.90507139959,74.5857980755362,74.82593961126068,53395.59323272849,51943.03508608246,1585.6513270291177,0.06852652864614539,-0.00961528237458733,54175.0
