Date,Open,High,Low,Close,Volume,onchain_id,onchain_symbol,onchain_zero_balance_addresses_all_time,onchain_unique_addresses_all_time,onchain_new_addresses,onchain_active_addresses,onchain_transaction_count,onchain_transaction_count_all_time,onchain_large_transaction_count,onchain_average_transaction_value,onchain_block_height,onchain_hashrate,onchain_difficulty,onchain_block_time,onchain_block_size,onchain_current_supply,sp500,vix,dxy,brentoil,dowjones,RSI_10,RSI_14,ROC_12,STD_DEV_20,CCI_20,H_L,H_CP,MACD_Line_6_20,MACD_Signal_6_20,ATR_14,OBV,EMA_5,SMA_5,BB_Mid_20,BB_Upper_20,BB_Lower_20,STOCH_K,STOCH_D,EMA_12,EMA_26,MACD_Histogram,Target_Return_1d,Log_return,SMA_14
2021-03-03,1488.67,1657.11,1477.82,1568.65,917252731.88,7605.0,ETH,106216784.0,160383189.0,155601.0,560867.0,1193688.0,1193688.0,8609.0,5.21684575633565,11968393.0,390.219226153724,5257453416582120.0,13.4730763227719,46033.0,114903790.9365,3819.72,26.67,112.7617,64.7,31270.09,68.15330756327036,64.12319281057437,14.418767730213865,109.56842771696792,-27.162378928339002,179.28999999999996,56.36999999999989,0.0,0.0,131.4507142857143,0.0,1568.65,1602.916,1758.1195,1977.2563554339358,1538.9826445660642,71.64176118746127,68.6024281464076,1568.65,1568.65,0.0,-0.019303222516176444,-0.019491962523977596,1748.7114285714285
2021-03-04,1568.65,1625.02,1505.61,1538.37,1023294046.59,7605.0,ETH,106322770.0,160541821.0,158632.0,599914.0,1196356.0,2390044.0,11183.0,4.61067937734406,11974908.0,393.351366428633,5214411604827350.0,13.2563708934603,45598.0,114917418.999,3768.47,28.57,112.7037,67.32,30924.14,68.15330756327036,64.12319281057437,14.418767730213865,109.56842771696792,-27.162378928339002,119.41000000000008,56.36999999999989,-5.767619047619064,-1.153523809523813,131.4507142857143,-1023294046.59,1558.5566666666668,1602.916,1758.1195,1977.2563554339358,1538.9826445660642,71.64176118746127,68.6024281464076,1563.9915384615385,1566.407037037037,-4.614095238095251,-0.005603333398337185,-0.019491962523977596,1748.7114285714285
2021-03-05,1538.37,1549.35,1443.48,1529.75,1053353462.19,7605.0,ETH,106424937.0,160684617.0,142796.0,524801.0,1149890.0,3539934.0,7952.0,4.88524021383024,11981433.0,406.78870909693,5386832762877240.0,13.2423359901901,46126.0,114930978.0615,3841.94,24.66,113.7487,69.95,31496.3,68.15330756327036,64.12319281057437,14.418767730213865,109.56842771696792,-27.162378928339002,105.86999999999989,10.980000000000018,-10.979954648526018,-3.118809977324254,131.4507142857143,-2076647508.7800002,1548.9544444444446,1602.916,1758.1195,1977.2563554339358,1538.9826445660642,71.64176118746127,68.6024281464076,1558.7236094674556,1563.6917009602196,-7.861144671201764,0.07957509396960294,-0.005619090961746171,1748.7114285714285
2021-03-06,1529.75,1670.56,1514.5,1651.48,1162129783.44,7605.0,ETH,106547265.0,160841689.0,157072.0,541923.0,1114785.0,4654719.0,8414.0,4.30964270167364,11987996.0,419.192813906513,5517413005835360.0,13.1619932947272,43620.0,114944639.6865,3841.94,24.66,113.7487,69.95,31496.3,68.15330756327036,64.12319281057437,14.418767730213865,109.56842771696792,-27.162378928339002,156.05999999999995,140.80999999999995,9.136970089623219,-0.6676539639347595,131.4507142857143,-914517725.3400002,1583.1296296296298,1602.916,1758.1195,1977.2563554339358,1538.9826445660642,71.64176118746127,68.6024281464076,1572.9938233955393,1570.1945379261292,9.804624053557978,0.04532298302129001,0.0765675322120195,1748.7114285714285
2021-03-07,1651.48,1734.52,1631.59,1726.33,750450852.99,7605.0,ETH,106645444.0,160977378.0,135689.0,501184.0,1125831.0,5780550.0,10268.0,7.60668501415599,11994473.0,413.718810437904,5517677569288340.0,13.3367819641754,44396.0,114958100.624,3841.94,24.66,113.7487,69.95,31496.3,68.15330756327036,64.12319281057437,14.418767730213865,109.56842771696792,-27.162378928339002,102.93000000000006,83.03999999999996,36.14622158462771,6.695121145777734,131.4507142857143,-164066872.35000014,1630.8630864197532,1602.916,1758.1195,1977.2563554339358,1538.9826445660642,71.64176118746127,68.6024281464076,1596.58400441161,1581.7601277093788,29.451100438849977,0.06264735015900791,0.04432591232456206,1748.7114285714285
2021-03-08,1726.33,1842.9,1666.76,1834.48,1199163171.81,7605.0,ETH,106743844.0,161113064.0,135686.0,535334.0,1172458.0,6953008.0,9904.0,5.24294805448101,12000973.0,414.695343835641,5509022496598560.0,13.284505308509,44972.0,114971627.4365,3821.35,25.47,114.2678,68.0,31802.44,68.15330756327036,64.12319281057437,14.418767730213865,109.56842771696792,-27.162378928339002,176.1400000000001,116.57000000000016,73.21760937841646,19.99961879230548,131.4507142857143,1035096299.4599998,1698.7353909465023,1656.0819999999999,1758.1195,1977.2563554339358,1538.9826445660642,71.64176118746127,68.6024281464076,1633.1833883482855,1600.4801182494248,53.21799058611097,0.020507173694997993,0.06076329470350125,1748.7114285714285
2021-03-09,1834.48,1872.1,1799.85,1872.1,939208423.11,7605.0,ETH,106848553.0,161266323.0,153259.0,576353.0,1233820.0,8186828.0,8954.0,5.13392479181215,12007406.0,408.203987714773,5481496676447880.0,13.4283271144279,46977.0,114985099.874,3875.44,24.03,113.928,67.03,31832.74,68.15330756327036,64.12319281057437,14.418767730213865,109.56842771696792,-27.162378928339002,72.25,37.61999999999989,102.34870735730237,36.46943650530486,131.4507142857143,1974304722.5699997,1756.523593964335,1722.828,1758.1195,1977.2563554339358,1538.9826445660642,71.64176118746127,68.6024281464076,1669.939790140857,1620.600109490208,65.87927085199752,-0.04084717696704221,0.020299732831490065,1748.7114285714285
2021-03-10,1872.1,1878.68,1758.02,1795.63,1320531852.38,7605.0,ETH,106962170.0,161416519.0,150196.0,584651.0,1211901.0,9398729.0,8119.0,4.72450980758929,12013938.0,413.195919294638,5465561517676390.0,13.227530240392,45370.0,114998705.8115,3898.81,22.56,113.5881,67.53,32297.02,68.15330756327036,64.12319281057437,14.418767730213865,109.56842771696792,-27.162378928339002,120.66000000000008,6.580000000000155,103.82421401420697,49.940392007085286,131.4507142857143,653772870.1899996,1769.5590626428902,1776.0040000000001,1758.1195,1977.2563554339358,1538.9826445660642,71.64176118746127,68.6024281464076,1689.276745503802,1633.5652865650075,53.88382200712169,0.017503605976732395,-0.041704860138774405,1748.7114285714285
2021-03-11,1795.63,1846.24,1726.09,1827.06,964788578.61,7605.0,ETH,107090661.0,161581689.0,165170.0,625272.0,1243925.0,10642654.0,7897.0,4.14795846357458,12020353.0,410.041844640695,5521308692584690.0,13.4652323043343,47008.0,115012059.0615,3939.34,21.91,112.9214,69.34,32485.59,68.15330756327036,64.12319281057437,14.418767730213865,109.56842771696792,-27.162378928339002,120.15000000000009,50.6099999999999,107.9392907240649,61.540171750481214,131.4507142857143,1618561448.7999997,1788.726041761927,1811.1200000000001,1758.1195,1977.2563554339358,1538.9826445660642,71.64176118746127,68.6024281464076,1710.4741692724479,1647.898228300933,46.39911897358369,-0.03245104156404277,0.017352182285809755,1748.7114285714285
2021-03-12,1827.06,1842.03,1722.01,1767.77,972065732.17,7605.0,ETH,107213112.0,161752043.0,170354.0,593964.0,1276617.0,11919271.0,8425.0,6.05562049474619,12026823.0,406.019734533651,5421232736179330.0,13.3521409800587,46676.0,115025567.749,3943.34,20.69,113.0269,68.87,32778.64,68.15330756327036,64.12319281057437,14.418767730213865,109.56842771696792,-27.162378928339002,120.01999999999998,14.970000000000027,96.36823714950879,68.50578483028673,131.4507142857143,646495716.6299998,1781.7406945079515,1819.4080000000001,1758.1195,1977.2563554339358,1538.9826445660642,71.64176118746127,68.6024281464076,1719.288912461302,1656.7776187971601,27.862452319222058,0.08678165145918304,-0.03298925232390943,1748.7114285714285
