Date,Open,High,Low,Close,Volume,sp500,vix,dxy,brentoil,dowjones,RSI_10,RSI_14,ROC_12,STD_DEV_20,CCI_20,H_L,H_CP,MACD_Line_6_20,MACD_Signal_6_20,ATR_14,OBV,EMA_5,SMA_5,BB_Mid_20,BB_Upper_20,BB_Lower_20,STOCH_K,STOCH_D,EMA_12,EMA_26,MACD_Histogram,Target_Return_1d,Log_return,SMA_14
2021-03-03,13.98,14.76,13.77,14.13,8015888.05,3819.72,26.67,112.7617,64.7,31270.09,52.76073619631901,47.66888677450047,0.212314225053074,0.7753320171656173,124.76296600394897,0.9900000000000002,0.1399999999999988,0.0,0.0,1.4892857142857139,0.0,14.13,13.34,14.1715,15.722164034331234,12.620835965668766,46.33260711692086,47.381286732199534,14.13,14.13,0.0,-0.07430997876857759,-0.07721585066738353,14.110714285714286
2021-03-04,14.13,14.27,12.75,13.08,6020248.34,3768.47,28.57,112.7037,67.32,30924.14,52.76073619631901,47.66888677450047,0.212314225053074,0.7753320171656173,124.76296600394897,1.5199999999999996,0.1399999999999988,-0.20000000000000107,-0.040000000000000216,1.4892857142857139,-6020248.34,13.780000000000001,13.34,14.1715,15.722164034331234,12.620835965668766,46.33260711692086,47.381286732199534,13.96846153846154,14.052222222222223,-0.16000000000000086,-0.03899082568807333,-0.07721585066738353,14.110714285714286
2021-03-05,13.08,13.09,12.15,12.57,5563803.09,3841.94,24.66,113.7487,69.95,31496.3,52.76073619631901,47.66888677450047,0.212314225053074,0.7753320171656173,124.76296600394897,0.9399999999999995,0.009999999999999787,-0.4209523809523805,-0.11619047619047629,1.4892857142857139,-11584051.43,13.376666666666669,13.34,14.1715,15.722164034331234,12.620835965668766,46.33260711692086,47.381286732199534,13.753313609467456,13.942427983539096,-0.30476190476190423,0.039777247414478856,-0.039771323426896515,14.110714285714286
2021-03-06,12.57,13.3,11.9,13.07,6053010.27,3841.94,24.66,113.7487,69.95,31496.3,52.76073619631901,47.66888677450047,0.212314225053074,0.7753320171656173,124.76296600394897,1.4000000000000004,0.7300000000000004,-0.45705215419500966,-0.18436281179138297,1.4892857142857139,-5531041.16,13.274444444444446,13.34,14.1715,15.722164034331234,12.620835965668766,46.33260711692086,47.381286732199534,13.648188438780156,13.877803688462127,-0.2726893424036267,0.05967865340474354,0.039006505033974466,14.110714285714286
2021-03-07,13.07,14.01,12.72,13.85,4514029.18,3841.94,24.66,113.7487,69.95,31496.3,52.76073619631901,47.66888677450047,0.212314225053074,0.7753320171656173,124.76296600394897,1.2899999999999991,0.9399999999999995,-0.3193737177410636,-0.2113649929813191,1.4892857142857139,-1017011.9800000004,13.466296296296298,13.34,14.1715,15.722164034331234,12.620835965668766,46.33260711692086,47.381286732199534,13.679236371275517,13.875744155983451,-0.10800872475974449,-0.014440433212996373,0.05796570499721679,14.110714285714286
2021-03-08,13.85,13.89,13.08,13.65,5099926.79,3821.35,25.47,114.2678,68.0,31802.44,52.76073619631901,47.66888677450047,0.212314225053074,0.7753320171656173,124.76296600394897,0.8100000000000005,0.040000000000000924,-0.25980265424385784,-0.22105252523382687,1.4892857142857139,-6116938.7700000005,13.527530864197532,13.244,14.1715,15.722164034331234,12.620835965668766,46.33260711692086,47.381286732199534,13.67473846800236,13.859022366651343,-0.03875012901003097,0.08791208791208782,-0.014545711002378751,14.110714285714286
2021-03-09,13.65,15.01,13.31,14.85,8179088.83,3875.44,24.03,113.928,67.03,31832.74,52.76073619631901,47.66888677450047,0.212314225053074,0.7753320171656173,124.76296600394897,1.6999999999999993,1.3599999999999994,0.014336540648725915,-0.17397471205731632,1.4892857142857139,2062150.0599999996,13.968353909465021,13.597999999999999,14.1715,15.722164034331234,12.620835965668766,46.33260711692086,47.381286732199534,13.855547934463535,13.932428117269762,0.18831125270604224,-0.04444444444444451,0.0842603436177398,14.110714285714286
2021-03-10,14.85,15.51,13.49,14.19,10533161.12,3898.81,22.56,113.5881,67.53,32297.02,52.76073619631901,47.66888677450047,0.212314225053074,0.7753320171656173,124.76296600394897,2.0199999999999996,0.6600000000000001,0.06539693079974995,-0.12610038348590308,1.4892857142857139,-8471011.059999999,14.042235939643348,13.922,14.1715,15.722164034331234,12.620835965668766,46.33260711692086,47.381286732199534,13.907002098392223,13.95150751599052,0.19149731428565303,0.1282593375616632,-0.0454623740767574,14.110714285714286
2021-03-11,14.19,16.31,13.69,16.01,14261141.6,3939.34,21.91,112.9214,69.34,32485.59,52.76073619631901,47.66888677450047,0.212314225053074,0.7753320171656173,124.76296600394897,2.619999999999999,2.119999999999999,0.4432823004674269,-0.01222384669523709,1.4892857142857139,5790130.540000001,14.698157293095566,14.51,14.1715,15.722164034331234,12.620835965668766,46.33260711692086,47.381286732199534,14.230540237101112,14.103988440731964,0.45550614716266397,-0.089319175515303,0.12067603583667207,14.110714285714286
2021-03-12,16.01,16.49,14.09,14.58,10301609.87,3943.34,20.69,113.0269,68.87,32778.64,52.76073619631901,47.66888677450047,0.212314225053074,0.7753320171656173,124.76296600394897,2.3999999999999986,0.4799999999999969,0.4030508781310953,0.0708310982700294,1.4892857142857139,-4511479.329999998,14.658771528730378,14.656,14.1715,15.722164034331234,12.620835965668766,46.33260711692086,47.381286732199534,14.284303277547094,14.1392485562333,0.3322197798610659,0.04869684499314131,-0.0935628004281113,14.110714285714286
